aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14823517,lsidyv3b0a9abf -- lsidyv3ae4245a,"pinkerton, thomas a.","pinkerton, thomas a.",https://www.wikidata.org/wiki/Q55726200,Q55726200,a new saint's tragedy. a novel. [electronic resource],a new saint's tragedy. a novel,,,,,,,"london : sonnenschein and co., 1892 [1891].",1892,london,sonnenschein and co.,tragedy
14823753,lsidyv34f67380 -- lsidyv34ecc5dd,"riethmüller, christopher james.","riethmüller, christopher james",https://www.wikidata.org/wiki/Q64685891,Q64685891,"julian the apostate, a tragedy in two parts [and in verse]. [electronic resource]","julian the apostate, a tragedy in two parts",[and in verse],,,,,,"london : virtue & co., 1883.",1883,london,virtue & co.,tragedy
14823894,lsidyv3b69c042 -- lsidyv3b69b820 -- lsidyv3b69acc6,"russell, william clark.","russell, william clark",https://www.wikidata.org/wiki/Q12407121,Q12407121,an ocean tragedy. [a novel.] [electronic resource],an ocean tragedy,[a novel.],,,,,,"london : chatto & windus, 1890.",1890,london,chatto & windus,tragedy
14823908,lsidyv319e261e -- lsidyv338f1fbe,"rymer, thomas, antiquary.","rymer, thomas",https://www.wikidata.org/wiki/Q431174,Q431174,"edgar, or the english monarch; an heroick tragedy [in five acts and in verse]. [electronic resource]","edgar, or the english monarch; an heroick tragedy",[in five acts and in verse],,,,,,"london, 1678.",1678,london,,tragedy
14824114,lsidyv3abdb105 -- lsidyv3abdaafc,"smart, hawley.","smart, hawley",https://www.wikidata.org/wiki/Q5722762,Q5722762,“the plunger.” a turf tragedy of five-and-twenty years ago. [electronic resource],“the plunger.” a turf tragedy of five-and-twenty years ago,,,,,,,"london : white & co., 1891.",1891,london,white & co.,tragedy
14825796,yd.2009.a.4693,,,,,"montalto; a tragedy, in five acts. with other poems. [by william a'court, baron heytesbury.] [electronic resource]","montalto; a tragedy, in five acts. with other poems","[by william a'court, baron heytesbury.]",,"a'court, william, baron heytesbury.","a'court, william",,,"london : 28. g. odell, 1840.",1840,london,28. g. odell,tragedy
14825845,lsidyv2ebb9e46,"moore, edward, of abingdon.","moore, edward",https://www.wikidata.org/wiki/Q1293055,Q1293055,"the gamester. a tragedy [in five acts and in prose], etc. [electronic resource]",the gamester. a tragedy,"[in five acts and in prose], etc",,,,,,"london, 1753.",1753,london,,tragedy
14825861,lsidyv3945577f,"moore, george, fl.1795.","moore, george",,,"montbar, or the buccaneer. a tragedy [in five acts and in verse]. [electronic resource]","montbar, or the buccaneer. a tragedy",[in five acts and in verse],,,,,,"london, 1804.",1804,london,,tragedy
14825915,lsidyv2ebc568a,"more, hannah, 1745-1833","more, hannah",https://www.wikidata.org/wiki/Q25880,Q25880,"[percy, a tragedy ... the second edition. [the dedication signed: hannah more.]] [electronic resource]","percy, a tragedy",the second edition. [the dedication signed: hannah more.]..,fourth edition,,,,,"t. cadell : london, 1788.",1788,london,,tragedy
14826055,lsidyv345dafc6,"mountfort, william.","mountfort, william",https://www.wikidata.org/wiki/Q8015894,Q8015894,"the injur'd lovers: or, the ambitious father. a tragedy, etc. [in five acts and in verse]. [electronic resource]","the injur'd lovers: or, the ambitious father. a tragedy, etc.",[in five acts and in verse],,,,,,"london, 1688.",1688,london,,tragedy
