aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14807071,lsidyv345b32c8,"chamberlaine, william, of shaftesbury, dorset.","chamberlaine, william",https://www.wikidata.org/wiki/Q8006678,Q8006678,loves victory: a tragi-comedy. [in prose and verse.] [electronic resource],loves victory: a tragi-comedy,[in prose and verse.],,,,,,"london : printed by e. cotes; sold by robert clavell, 1658.",1658,london,printed by e. cotes; sold by robert clavell,comedy
14807075,lsidyv3498db3b,"chambers, marianne.","chambers, marianne",https://www.wikidata.org/wiki/Q55381444,Q55381444,"[the school for friends, a comedy, in five acts, etc.] [electronic resource]","the school for friends, a comedy, in five acts, etc.",,another edition,,,,,"london : barker & son, 1806.",1806,london,barker & son,comedy
14807122,lsidyv345d2e6c,"chapman, george, 1559?-1634","chapman, george",https://www.wikidata.org/wiki/Q342720,Q342720,the widdowes teares. a comedie ... written by geor. chap. (g. chapman.). [electronic resource],the widdowes teares. a comedie,written by geor. chap. (g. chapman.)....,,,,,,"london : for iohn browne, 1612.",1612,london,for iohn browne,comedy
14807124,lsidyv345b1805,"chapman, george, 1559?-1634","chapman, george",https://www.wikidata.org/wiki/Q342720,Q342720,"the ball. a comedy, as it was presented by her majesties servants, at the private house in drury lane. written by george chapman, and james shirly. [electronic resource]",the ball. a comedy," as it was presented by her majesties servants, at the private house in drury lane. written by george chapman, and james shirly",,"shirley, james, 1596-1666.","shirley, james",,,"london : tho. cotes, for andrew crooke, and william cooke, 1639.",1639,london,tho. cotes for andrew crooke and william cooke,comedy
14807176,lsidyv338f3328,,,,,"[the cheats. a comedy. written in the year, m.dc.lxii. [by john wilson.]] [electronic resource]",the cheats. a comedy,"written in the year, m.dc.lxii. [by john wilson.]",the second edition,"wilson, john, recorder of londonderry.","wilson, john",,,"london : for t. collins & john ford, 1671.",1671,london,for t. collins & john ford,comedy
14807177,lsidyv3460629a,,,,,"[the cheats. a comedy. written in the year, m.dc.lxii. [by john wilson.]] [electronic resource]",the cheats. a comedy,"written in the year, m.dc.lxii. [by john wilson.]",the third edition,"wilson, john, recorder of londonderry.","wilson, john",,,"london : j. rawlins for j. wright, etc., 1684.",1684,london,j. rawlins for j. wright etc.,comedy
14807193,lsidyv349467b2,"cherry, a. (andrew), 1762-1812.","cherry, andrew",https://www.wikidata.org/wiki/Q4756596,Q4756596,"the soldier's daughter; a comedy in five acts, etc. [electronic resource]","the soldier's daughter; a comedy in five acts, etc.",,,,,,,"london : richard phillips, 1804.",1804,london,richard phillips,comedy
14807194,lsidyv34945c5e,"cherry, a. (andrew), 1762-1812.","cherry, andrew",https://www.wikidata.org/wiki/Q4756596,Q4756596,"[the soldier's daughter; a comedy in five acts, etc.] [electronic resource]","the soldier's daughter; a comedy in five acts, etc.",,the second edition,,,,,"london : richard phillips, 1804.",1804,london,richard phillips,comedy
14807327,lsidyv3a9769fd,"cibber, colley, 1671-1757","cibber, colley",https://www.wikidata.org/wiki/Q918326,Q918326,"[the careless husband. a comedy, etc.] [electronic resource]","the careless husband. a comedy, etc.",,the second edition,,,,,"london : w. davis, 1705.",1705,london,w. davis,comedy
14807398,lsidyv3a9a8309,"clarke, stephen reynolds.","clarke, stephen reynolds",,,"the kiss, a comedy, in five acts, etc. [in verse.] [electronic resource]","the kiss, a comedy, in five acts, etc.",[in verse.],,,,,,"london : longman & co., 1811.",1811,london,longman & co.,comedy
