aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14804341,lsidyv349940f8,"austin, alfred, 1835-1913.",Alfred Austin,https://www.wikidata.org/wiki/Q575043,Q575043,prince lucifer. [a drama. in verse.] [electronic resource],prince lucifer,[a drama. in verse.],,,,,,"london : macmillan & co., 1887.",1887,london,macmillan & co.,play
14804397,lsidyv349c1612,"b., e. l.",Dr. Larry E. Brown,https://www.wikidata.org/wiki/Q21506544,Q21506544,"the duchess de la vallière. a play in five acts. by the author of “eugene aram,” etc. [the preface signed: e. l. b., i.e. edward g. e. l. bulwer, afterwards bulwer-lytton.] [electronic resource]",the duchess de la vallière. a play in five acts,"by the author of “eugene aram,” etc. [the preface signed: e. l. b., i.e. edward g. e. l. bulwer, afterwards bulwer-lytton.]",,"lytton, edward bulwer lytton, baron, 1803-1873. -- la vallière, françoise-louise de la baume le blanc, duchesse de, 1644-1710.","lytton, edward bulwer lytton, baron |la vallière, françoiselouise de la baume le blanc",,,"london : saunders & otley, 1836.",1836,london,saunders & otley,play
14804434,lsidyv34991edf,"baddeley, welbore saint clair.",Welbore Saint Clair Baddeley,https://www.wikidata.org/wiki/Q82026273,Q82026273,"george villiers, duke of buckingham, a drama, and other poems. [electronic resource]","george villiers, duke of buckingham, a drama, and other poems",,,,,,,"london : hardwicke & bogue, 1878 [1877].",1878,london,hardwicke & bogue,play
14804453,lsidyv349b93e9,"baildon, henry bellyse.",Henry Bellyse Baildon,https://www.wikidata.org/wiki/Q55418716,Q55418716,"rosamund: a tragic drama, etc. [in verse.] [electronic resource]","rosamund: a tragic drama, etc.",[in verse.],,,,,,"london : longmans & co., 1875.",1875,london,longmans & co.,play
14804459,lsidyv349ccac7,"baillie, joanna, 1762-1851",Joanna Baillie,https://www.wikidata.org/wiki/Q463302,Q463302,the bride; a drama. in three acts. [in verse.] [electronic resource],the bride; a drama. in three acts,[in verse.],,,,,,"london : henry colburn, 1828.",1828,london,henry colburn,play
14804460,lsidyv339239e1 -- lsidyv345ae957 -- lsidyv39f65836,"baillie, joanna, 1762-1851",Joanna Baillie,https://www.wikidata.org/wiki/Q463302,Q463302,dramas. [electronic resource],dramas,,,,,,,"london : longman & co., 1836.",1836,london,longman & co.,play
14804462,lsidyv349cc514,"baillie, joanna, 1762-1851",Joanna Baillie,https://www.wikidata.org/wiki/Q463302,Q463302,"the martyr: a drama, in three acts. [in verse.] [electronic resource]","the martyr: a drama, in three acts",[in verse.],,,,,,"london : longman & co., 1826.",1826,london,longman & co.,play
14804463,lsidyv3471a653,"baillie, joanna, 1762-1851",Joanna Baillie,https://www.wikidata.org/wiki/Q463302,Q463302,miscellaneous plays. [electronic resource],miscellaneous plays,,,,,,,"london : longman & co., 1804.",1804,london,longman & co.,play
14804467,lsidyv3a9a2422 -- lsidyv3a9a2fb5 -- lsidyv3497d593,"baillie, joanna, 1762-1851",Joanna Baillie,https://www.wikidata.org/wiki/Q463302,Q463302,[a series of plays: in which it is attempted to delineate the stronger passions of the mind ... third edition.] [electronic resource],a series of plays: in which it is attempted to delineate the stronger passions of the mind,third edition...,a new edition,,,,,"london : longman & co., 1821.",1821,london,longman & co.,play
14804685,lsidyv349be773,"barraud, clement william.",Clement William Barraud,https://www.wikidata.org/wiki/Q135976536,Q135976536,saint thomas of canterbury and saint elizabeth of hungary. historical dramas. [electronic resource],saint thomas of canterbury and saint elizabeth of hungary. historical dramas,,,,,,,"london : longmans & co., 1892.",1892,london,longmans & co.,play
